"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that cached tokens are reported in prompt_tokens_details.","0","test_build_completion_usage_with_cached_tokens","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestUsageStatistics","test_vllm_prompt_embeds","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_disabled-worker_failure-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"","0","test_string","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestInferType","test_dynamic_flags","",""
"Invalid parser name exits when using Dynamo's tokenizer.","6","test_tool_call_parser_invalid_with_dynamo_tokenizer","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","","test_sglang_unit","",""
"getaddrinfo returns routable IPv4 → returns it.","1","test_hostname_resolution_success","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestGetHostIp","test_vllm_unit","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","114960","test_serve_deployment[aggregated_lmcache]","tests.serve","2026-04-09","passed","2026-04-09","","test_vllm","",""
"","0","test_b64_json","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestDiffusionFormatterPrepareImages","test_output_formatter","",""
"","0","test_rejects_multicast","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestIsRoutable","test_vllm_unit","",""
"Test successful image generation with URL response format.","5","test_generate_success_url_format","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","TestImageDiffusionWorkerHandler","test_sglang_image_diffusion_handler","",""
"Test factory raises ValueError for invalid disaggregation_mode.","0","test_invalid_mode_raises","components.src.dynamo.trtllm.tests.request_handlers","2026-04-09","passed","2026-04-09","TestRequestHandlerFactory","test_trtllm_request_handler_factory","",""
"","0","test_disagg_health_check_payload_includes_bootstrap_info","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","","test_sglang_unit","",""
"","2","test_resume_keeps_quiesced_state_when_register_fails","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","","test_sglang_memory_occupation_handlers","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_aggregated[migration_enabled-graceful_shutdown-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_sglang","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-worker_failure-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"Verify DiffusionEngine passes prompt as List[str] to DiffusionRequest.","15","test_generate_wraps_prompt_as_list","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestDiffusionEngineGenerate","test_trtllm_video_diffusion","",""
"Stats task calls do_log_stats after the interval.","152","test_periodic_log_stats_calls_do_log_stats","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_engine_monitor_stats","",""
"","4670","test_initialize_from_config_uses_kv_cache_gms_tag","tests.gms.integration","2026-04-09","passed","2026-04-09","","test_gms_vllm_worker","",""
"deep_update merges nested dicts without removing existing keys.","1","test_deep_update_nested_merge","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","","test_trtllm_unit","",""
"","1","test_extract_multimodal_data_loads_video_url_items","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_video_handler","",""
"","0","test_ref_text_only_for_base","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestValidateTtsRequest","test_audio_handler","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_enabled-worker_failure-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"Test VideoData with both fields (unusual but valid).","0","test_both_fields","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestVideoData","test_trtllm_video_diffusion","",""
"Test generate() with b64_json response format returns base64 encoded video.","7","test_b64_response_format","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestVideoHandlerResponseFormats","test_trtllm_video_diffusion","",""
"stream_interval=20: function name + args + EOS in a single chunk.

    Only 2 CompletionOutput objects:
      1. [TOOL_CALLS] alone
      2. search_gutenberg_books{""search_terms"": [""James Joyce books""]}
         with finish_reason=stop

    The tool call and finish_reason arrive together.  The processor must
    still emit the parsed tool call and the finish_reason.
    ","0","test_mistral_tool_call_interval_20","tests.frontend","2026-04-09","passed","2026-04-09","","test_prepost_mistral","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","64310","test_request_migration_vllm_aggregated[migration_enabled-graceful_shutdown-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","passed","2026-04-09","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_aggregated[migration_enabled-worker_failure-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"Test Kubernetes deployment end-to-end.

    This test:
    1. Deploys the specified configuration to Kubernetes
    2. Waits for all pods to become ready
    3. Port-forwards to the frontend service
    4. Waits for the model to be available
    5. Sends a test chat completion request
    6. Validates the response structure and content

    Args:
        deployment_target: The deployment target containing path and metadata
        deployment_spec: Configured DeploymentSpec from fixture
        namespace: Kubernetes namespace for the deployment
        skip_service_restart: Whether to skip restarting NATS/etcd services (default: True).
            Use --restart-services flag to restart services before deployment.
        request: Pytest request object for accessing test metadata
    ","88921","test_deployment[sglang-agg_router]","tests.deploy","2026-04-09","passed","2026-04-09","","test_deploy","",""
"guided_decoding dict from Rust must be converted to GuidedDecodingParams.

        The Rust frontend serializes GuidedDecodingOptions as a JSON dict.
        _override_sampling_params must convert it to TRT-LLM's
        GuidedDecodingParams so that downstream attribute access like
        .json_object works without AttributeError.
        ","1","test_guided_decoding_dict_is_converted","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestGuidedDecodingFromToolChoice","test_trtllm_handler_base","",""
"","1","test_finish_reason_abort_normalized","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestTextFormatter","test_output_formatter","",""
"","1","test_successful_generation","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestAudioFormatterFormat","test_output_formatter","",""
"Test SGLang deployment scenarios using common helpers","47713","test_sglang_deployment[kv_events-2]","tests.serve","2026-04-09","passed","2026-04-09","","test_sglang","",""
"Test Kubernetes deployment end-to-end.

    This test:
    1. Deploys the specified configuration to Kubernetes
    2. Waits for all pods to become ready
    3. Port-forwards to the frontend service
    4. Waits for the model to be available
    5. Sends a test chat completion request
    6. Validates the response structure and content

    Args:
        deployment_target: The deployment target containing path and metadata
        deployment_spec: Configured DeploymentSpec from fixture
        namespace: Kubernetes namespace for the deployment
        skip_service_restart: Whether to skip restarting NATS/etcd services (default: True).
            Use --restart-services flag to restart services before deployment.
        request: Pytest request object for accessing test metadata
    ","138666","test_deployment[vllm-agg]","tests.deploy","2026-04-09","passed","2026-04-09","","test_deploy","",""
"Valid parser name works when using Dynamo's tokenizer.","136","test_tool_call_parser_valid_with_dynamo_tokenizer","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","","test_sglang_unit","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_disabled-graceful_shutdown-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"","0","test_encode_worker[DisaggregationMode.DECODE]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestResolveDisaggregationModeFromLegacyMultimodalFlags","test_backend_args","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_aggregated[migration_disabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_sglang","",""
"Test decoding embeddings of various sizes.","65","test_various_embedding_sizes[128]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestEmbeddingsDataFormats","test_vllm_prompt_embeds","",""
"","2","test_release_and_resume_use_explicit_request_tags","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","","test_sglang_memory_occupation_handlers","",""
"Test that __str__ includes key fields.","0","test_str_representation","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestDiffusionConfig","test_trtllm_video_diffusion","",""
"","0","test_pause_resume_model_weights_only_routes_weights","tests.gms.integration","2026-04-09","passed","2026-04-09","","test_gms_sglang_memory_saver","",""
"boundary_ratio outside (0, 1] must be rejected.","0","test_omni_config_invalid_boundary_ratio[2.0]","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_args","",""
"Test that ValueError is raised when there are no user role messages.","0","test_extract_user_text_no_user_messages","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_chat_message_utils","",""
"","0","test_to_next_stage_request_excludes_finished_and_error","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestStageOutput","test_omni_disagg_types","",""
"","2","test_skip_oversized_item","components.src.dynamo.vllm.tests.multimodal_utils","2026-04-09","passed","2026-04-09","TestSchedulerSideLRU","test_vllm_multimodal_embedding_cache_connector","",""
"","1","test_get_llm_engine_forwards_backend[pytorch]","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","","test_trtllm_autodeploy","",""
"","0","test_fetch_stage_inputs_raises_on_missing_connector","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_stage_worker","",""
"","1","test_max_new_tokens_range","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestValidateTtsRequest","test_audio_handler","",""
"Test that --model-express-url takes precedence over MODEL_EXPRESS_URL.","3","test_model_express_url_cli_overrides_env[mx-target]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_unit","",""
"Image request parses prompt, size, and creates diffusion sampling params.","1","test_image_generation","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestBuildEngineInputs","test_omni_handler","",""
"","2","test_abort_called_by_default","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestHandleCancellationAbortToggle","test_trtllm_handler_base","",""
"All cached: no encode request sent.","5","test_all_cached_no_request_sent","components.src.dynamo.trtllm.tests.multimodal","2026-04-09","passed","2026-04-09","TestFetchEmbeddingsFromEncoder","test_trtllm_embedding_fetcher","",""
"Obsolete --dyn-endpoint-types alias should map to endpoint_types.","122","test_obsolete_dyn_endpoint_types_flag_is_supported","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","","test_sglang_unit","",""
"stream_interval=20: multiple tokens per chunk.

    When </think>, <tool_call>, and the start of the JSON body arrive in a
    single CompletionOutput, the tool parser must still extract the tool call
    correctly instead of leaking raw tool-call markup into ``content``.
    ","1","test_stream_interval_20","tests.frontend","2026-04-09","passed","2026-04-09","","test_prepost","",""
"","2","test_wake_up_passes_explicit_tags_from_request","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_sleep_wake_handlers","",""
"Trigger the predownload_models fixture to download all required models.

    This test runs before any other tests in the session due to pytest.mark.order(""first"").
    By downloading models upfront, we ensure that model download time is not counted
    against individual test timeouts. This prevents tests from failing due to slow
    network downloads rather than actual test failures.

    The actual download logic is handled by the predownload_models session-scoped fixture
    defined in conftest.py.

    The parametrization ensures this test is selected by any CI marker expression
    that matches framework-specific E2E tests (e.g., ""vllm and e2e and gpu_1"").
    ","0","test_predownload_models[predownload_models_sglang_gpu2]","tests","2026-04-09","passed","2026-04-09","","test_predownload_models","",""
"","1","test_pause_resume_routes_kv_cache_to_gms","tests.gms.integration","2026-04-09","passed","2026-04-09","","test_gms_sglang_memory_saver","",""
"Test that --endpoint overrides default namespace/component/endpoint.","3","test_endpoint_overrides_defaults","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_unit","",""
"Test decoding embeddings with various shapes and dtypes.","2","test_decode_valid_embeddings_various_shapes[3d-batch]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestPromptEmbedsDecode","test_vllm_prompt_embeds","",""
"","1","test_non_tts_model","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestIsTtsModel","test_audio_handler","",""
"","1","test_raises_for_image_url[extra_args_messages]","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestMultimodalGuard","test_trtllm_handler_base","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","0","test_serve_deployment[agg-router-approx]","tests.serve","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"getaddrinfo returns 127.0.0.1, UDP returns 10.0.0.5 → returns 10.0.0.5.","0","test_hostname_loopback_falls_through_to_udp","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestGetHostIp","test_vllm_unit","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_aggregated[migration_enabled-graceful_shutdown-completion-unary-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"All strategies fail, no env var → RuntimeError.","0","test_raises_when_detection_fails_and_no_env","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestEnsureSideChannelHost","test_vllm_unit","",""
"Text-only routing should increase overlap on repeat and then stabilize.","6723","test_trtllm_text_only_overlap_repeated_prompt","tests.mm_router","2026-04-09","passed","2026-04-09","","test_mm_router_e2e","",""
"","0","test_resume_with_no_sleeping_state_is_noop","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","","test_sglang_memory_occupation_handlers","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","0","test_serve_deployment[aggregated_lmcache_multiproc]","tests.serve","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"Test that missing prompt raises validation error.","0","test_required_fields_missing_prompt","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestNvCreateVideoRequest","test_trtllm_video_diffusion","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"Test that num_inference_steps defaults to 50.","3","test_generate_with_default_num_inference_steps","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","TestImageDiffusionWorkerHandler","test_sglang_image_diffusion_handler","",""
"Test extracting text from a single user message with one text content.","0","test_extract_user_text_single_message","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_chat_message_utils","",""
"","0","test_string_values","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestParseDynamicFlags","test_dynamic_flags","",""
"Non-final stage must include sampling_params_list in its output for downstream stages.","1","test_sampling_params_propagate_in_stage_output","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_stage_worker","",""
"","0","test_auto_language_always_accepted","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestValidateTtsRequest","test_audio_handler","",""
"","0","test_stage_id_and_omni_router_mutually_exclusive","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_args","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_enabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"","0","test_single_token_roundtrip","tests.serve","2026-04-09","passed","2026-04-09","TestDisaggLogprobsSerializationRoundtrip","test_disagg_logprobs_serialization","",""
"
    Test dynamo deployments with different configurations.
    ","91291","test_deployment[aggregated-2]","tests.serve","2026-04-09","passed","2026-04-09","","test_trtllm","",""
"
    Test onboarding determinism under eviction scenario.

    Validates that:
    - Multiple onboarding cycles produce deterministic results
    - Responses are consistent when blocks are onboarded multiple times
    - Tests onboarded vs onboarded (not initial vs onboarded)
    ","667","test_onboarding_determinism[llm_server_kvbm0]","tests.kvbm_integration","2026-04-09","passed","2026-04-09","","test_kvbm","",""
"","3698","test_run_synthetic_disagg_replay_preserves_aic_local_optimum[vllm]","lib.bindings.python.tests.replay","2026-04-09","passed","2026-04-09","","test_replay_aic_parity","",""
"Model name is forwarded.","0","test_passes_model","components.src.dynamo.vllm.tests","2026-04-09","skipped","2026-04-09","TestLoadMultimodalData","test_vllm_worker_handler","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_disabled-graceful_shutdown-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"Chat request extracts text prompt with no sampling params.","0","test_chat_completion","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestBuildEngineInputs","test_omni_handler","",""
"Verify ToolParserManager and ReasoningParserManager lookup signatures.

        EngineFactory calls ToolParserManager.get_tool_parser(name) and
        ReasoningParserManager.get_reasoning_parser(name) to resolve parser
        classes by name.
        ","0","test_tool_and_reasoning_parser_manager_contract","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestVllmRendererApi","test_vllm_renderer_api","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_aggregated[migration_disabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"","0","test_fetch_stage_inputs_raises_on_missing_ref","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_stage_worker","",""
"","0","test_three_levels","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestSetNested","test_dynamic_flags","",""
"All URLs cached -> no encode worker call, returns accumulated mm_data.","3","test_all_cached","components.src.dynamo.vllm.tests.multimodal_utils","2026-04-09","passed","2026-04-09","TestMultimodalEmbeddingLoader","test_vllm_embedding_loader","",""
"Cache path: request NOT updated with EPD metadata.","31","test_partial_cache_no_metadata_update","components.src.dynamo.trtllm.tests.multimodal","2026-04-09","passed","2026-04-09","TestFetchEmbeddingsFromEncoder","test_trtllm_embedding_fetcher","",""
"Test tool calling functionality with weather and system health tools.","1463","test_tool_calling","tests.frontend","2026-04-09","passed","2026-04-09","","test_vllm","",""
"Dict-style image data with image_embeds + image_grid_thw -> valid params.","424","test_dict_image_data_produces_embedding_params","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestBuildEmbeddingParams","test_vllm_worker_handler","",""
"Test that both dimensions exceeding raises ValueError with both errors.","0","test_parse_size_exceeds_both_dimensions","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestVideHandlerParseSize","test_trtllm_video_diffusion","",""
"Test Kubernetes deployment end-to-end.

    This test:
    1. Deploys the specified configuration to Kubernetes
    2. Waits for all pods to become ready
    3. Port-forwards to the frontend service
    4. Waits for the model to be available
    5. Sends a test chat completion request
    6. Validates the response structure and content

    Args:
        deployment_target: The deployment target containing path and metadata
        deployment_spec: Configured DeploymentSpec from fixture
        namespace: Kubernetes namespace for the deployment
        skip_service_restart: Whether to skip restarting NATS/etcd services (default: True).
            Use --restart-services flag to restart services before deployment.
        request: Pytest request object for accessing test metadata
    ","142870","test_deployment[vllm-agg_router]","tests.deploy","2026-04-09","passed","2026-04-09","","test_deploy","",""
"connector.put() returning ok=False → yields error, stops.","1","test_connector_put_failure_yields_error","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_stage_worker","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_aggregated[migration_disabled-graceful_shutdown-chat-unary-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_sglang","",""
"Test cleanup method.","1","test_cleanup","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","TestImageDiffusionWorkerHandler","test_sglang_image_diffusion_handler","",""
"","0","test_extract_media_urls_supports_string_and_wire_items","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","","test_sglang_decode_handler","",""
"","0","test_missing_field_noop","tests.serve","2026-04-09","passed","2026-04-09","TestDisaggLogprobsSerializationRoundtrip","test_disagg_logprobs_serialization","",""
"Different images should produce lower overlap than repeated identical images.","4246","test_vllm_mm_overlap_diff_images_less_than_same","tests.mm_router","2026-04-09","passed","2026-04-09","","test_vllm_mm_router_e2e","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","233445","test_serve_deployment[completions_only]","tests.serve","2026-04-09","passed","2026-04-09","","test_vllm","",""
"","0","test_scientific_notation","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestInferType","test_dynamic_flags","",""
"","0","test_decode_worker[DisaggregationMode.PREFILL]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestResolveDisaggregationModeFromLegacyMultimodalFlags","test_backend_args","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_aggregated[migration_disabled-graceful_shutdown-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"","0","test_negative_prompt_from_request","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestBuildOriginalPrompt","test_omni_handler","",""
"","0","test_routes_image","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestOutputFormatter","test_output_formatter","",""
"Test VideoData with URL only.","0","test_url_only","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestVideoData","test_trtllm_video_diffusion","",""
"","0","test_empty_frames_returns_none","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestDiffusionFormatterVideo","test_output_formatter","",""
"Test that invalid inputs raise ValueError.","0","test_decode_invalid_inputs[empty]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestPromptEmbedsDecode","test_vllm_prompt_embeds","",""
"","1","test_voice_design_requires_instructions","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestValidateTtsRequest","test_audio_handler","",""
"Test seconds with default fps (24).","0","test_compute_num_frames_only_seconds","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestVideoHandlerComputeNumFrames","test_trtllm_video_diffusion","",""
"deep_update adds new keys from source that are not in target.","0","test_deep_update_adds_new_keys","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","","test_trtllm_unit","",""
"","0","test_b64_default_when_none","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestDiffusionFormatterPrepareImages","test_output_formatter","",""
"Verify KVCacheEvent uses tag=True for variant identification.

        The tag (e.g., 'BlockStored') is the first element in the msgpack array.
        ","0","test_kv_cache_event_uses_tag","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestVllmKvEventsApi","test_vllm_kv_events_api","",""
